step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
260,CASH_OUT,254893,C883543540,309717,195868,C798510601,446710,684116,1,0
422,DEBIT,212589,C593303705,55989,187435,C314164216,279087,128993,0,0
565,DEBIT,157650,C675770529,362709,130613,C911653317,232275,675907,0,0
39,PAYMENT,186684,C234031070,296221,55063,M408427014,247439,677510,0,0
386,TRANSFER,284336,C506448196,177216,324004,C444851196,436056,373167,1,0
131,PAYMENT,178396,C184611066,425840,165043,M406462391,213328,548482,0,0
14,DEBIT,25564,C692749116,67300,116481,C793527609,209485,118576,0,0
418,TRANSFER,184154,C414797776,50762,257419,C163525343,177398,629769,0,0
342,CASH_OUT,101544,C990566476,71688,245352,C925412179,435485,233597,0,0
580,CASH_OUT,21684,C774996843,317798,308152,C196057712,514771,610725,0,0
675,DEBIT,199588,C764130526,445420,317392,C800400428,153405,732068,0,0
96,CASH_OUT,128774,C488302652,376053,125813,C716470999,51048,493657,0,0
72,TRANSFER,254917,C719927151,406529,414287,C349344539,239317,135047,1,0
625,CASH_OUT,199221,C306468299,140073,172624,C674615376,203811,271898,1,0
327,DEBIT,29186,C856528252,233731,278491,C893158610,204830,199307,0,0
151,TRANSFER,208130,C174684276,188057,257249,C876441691,544043,771393,1,1
419,PAYMENT,47211,C149203558,300176,377392,M140048684,427530,26296,0,0
119,CASH_OUT,19727,C810026086,60107,481995,C287974375,746988,511769,0,0
690,TRANSFER,89843,C344703907,85693,86569,C548700579,794944,307311,0,0
472,CASH_OUT,144507,C930075810,102537,186005,C999371401,456339,71519,0,0
483,PAYMENT,29030,C410727955,495336,397057,M288751681,467786,321117,0,0
488,DEBIT,170634,C185675980,264012,113922,C139019611,188961,376684,0,0
504,CASH_OUT,177270,C349957310,396991,26819,C997866344,420129,131310,1,0
298,DEBIT,104020,C208449460,367793,309181,C526269674,722670,681669,0,0
195,TRANSFER,256912,C508157429,411811,407409,C946066287,493973,521410,1,0
268,TRANSFER,218647,C398471886,250699,436462,C631914410,415718,706209,1,0
622,TRANSFER,266076,C586845604,840,45667,C300050585,426925,311890,0,0
160,TRANSFER,24142,C782560971,118724,482552,C904236062,158795,74236,0,1
407,CASH_OUT,45990,C995619255,109920,335483,C410812797,507723,376526,0,1
498,PAYMENT,111057,C491735568,468224,383476,M140229006,464674,799800,0,0
522,TRANSFER,293232,C274648506,142513,162187,C109950544,2175,793516,1,0
476,DEBIT,168851,C497478786,45647,485301,C420396197,622992,762638,0,0
192,TRANSFER,257550,C481469012,481153,18325,C709844411,731420,523518,1,0
41,DEBIT,83087,C324956459,69672,393471,C747233283,620417,141123,0,0
87,CASH_OUT,171269,C819595113,256587,391301,C215213239,603826,795707,1,0
629,DEBIT,110876,C386665249,208271,445544,C459748735,735901,681501,0,0
390,PAYMENT,4237,C853573823,314281,33298,M405545745,732119,732228,0,0
604,DEBIT,187564,C833953718,480916,159465,C587853601,364593,663726,0,0
685,DEBIT,43922,C795822698,245191,262672,C788603957,467572,688874,0,0
390,DEBIT,50608,C176667861,410334,370755,C683364453,581166,68382,0,0
649,PAYMENT,248144,C754049436,261498,199330,M662982736,615032,38130,0,0
225,PAYMENT,277583,C781802744,394813,289596,M630334421,107154,553616,0,1
548,CASH_OUT,94555,C283758720,104733,68602,C244096091,653642,417579,0,0
21,CASH_OUT,93426,C673528321,58008,307371,C641394238,365212,316096,0,0
547,CASH_OUT,229897,C882893941,383331,292104,C602533479,571312,278796,1,0
210,DEBIT,71795,C362863730,476006,137877,C392956587,682457,224310,0,0
364,PAYMENT,120754,C275452091,177443,30916,M307029662,26567,175725,0,0
231,DEBIT,171197,C596348124,124713,219601,C968457290,381059,475384,0,0
688,DEBIT,189203,C507437181,447079,189060,C220953538,312130,266404,0,0
518,CASH_OUT,210934,C389854268,287740,132915,C455069350,591672,285539,1,0
129,PAYMENT,291676,C787194506,71017,363634,M274476883,44989,318063,0,0
382,TRANSFER,106479,C838908273,390166,180076,C885033297,493496,423026,0,0
398,DEBIT,113755,C698020238,210015,251749,C592755658,109699,331834,0,0
501,PAYMENT,49152,C335809993,123313,388348,M796091085,778559,409336,0,0
338,PAYMENT,197445,C835098955,392561,159996,M376236056,302912,702640,0,0
670,PAYMENT,200698,C448195935,14260,294067,M871588919,659472,8109,1,0
302,CASH_OUT,283560,C924970419,10794,442602,C299929730,640102,659834,0,0
459,PAYMENT,232300,C933223566,432452,485314,M115122787,25741,395124,0,0
103,TRANSFER,252657,C160062915,74123,455071,C890937440,199888,756913,1,0
609,PAYMENT,41843,C345938494,241482,12150,M461971444,37170,608084,0,0
287,CASH_OUT,210909,C982403818,193435,333838,C949080318,6457,366991,1,0
427,PAYMENT,276701,C134467368,484540,265237,M416779880,296508,1223,0,0
281,DEBIT,262612,C964411347,114930,67309,C709650444,117928,447651,0,0
154,DEBIT,92272,C438715135,155915,21300,C824132709,234152,591058,0,0
103,TRANSFER,190033,C530747414,246592,427499,C913126162,111186,356423,1,0
537,CASH_OUT,58660,C387484583,188992,349525,C307405357,640083,167659,0,0
120,CASH_OUT,263545,C171069472,255539,135004,C288436227,42597,5397,1,0
442,DEBIT,108067,C326541099,400022,433966,C756007396,748118,702088,0,0
76,CASH_OUT,244272,C709004943,157620,320067,C785826598,9765,351477,1,0
111,TRANSFER,265125,C870854579,302621,276850,C535391971,275333,106948,1,0
481,DEBIT,190385,C437882805,206329,290157,C987973565,597013,196354,0,0
392,PAYMENT,105319,C328306011,150641,439844,M559242868,271142,485940,0,0
594,TRANSFER,285007,C803771909,465944,126372,C653278397,765709,539486,1,0
688,PAYMENT,139025,C636045484,159254,171231,M452108572,69806,324078,0,0
418,DEBIT,236870,C524806516,79803,251366,C193133974,48786,611795,0,1
404,TRANSFER,119010,C790256940,453400,178772,C530391423,697143,76945,0,0
435,TRANSFER,277933,C592688426,260078,287249,C818608005,783103,391212,1,0
447,PAYMENT,111562,C253407200,37276,306172,M202418976,351992,14990,0,0
613,CASH_OUT,219807,C384412919,465213,446771,C298407302,713161,31139,1,0
22,TRANSFER,115240,C249926919,328393,400145,C250980852,275536,664805,1,0
23,DEBIT,119601,C364814270,258901,190766,C612662437,299260,766334,0,0
455,DEBIT,20204,C899925830,113135,393476,C447464644,345632,687619,0,0
461,TRANSFER,46631,C702764446,330828,270877,C366338529,408873,369302,0,0
599,CASH_OUT,25379,C678722458,190932,420641,C107333788,551507,97069,0,0
552,TRANSFER,180424,C382116655,439923,451812,C380016058,599787,782031,1,0
86,DEBIT,394,C902099969,466961,40647,C511859868,149515,634958,0,0
666,TRANSFER,254365,C727694430,494408,153560,C352889019,683615,601082,1,0
453,DEBIT,53787,C560027313,109101,165229,C579678614,539618,398216,0,0
342,CASH_OUT,155742,C726563708,285815,49086,C909340042,666351,215616,1,0
629,CASH_OUT,77361,C528853029,50613,54333,C386682971,744875,12873,0,0
133,CASH_OUT,160285,C488690725,465978,499407,C453932473,340327,302944,1,0
120,TRANSFER,1981,C335493870,226118,281620,C424211872,582523,489676,0,0
623,PAYMENT,273426,C248532577,205591,234295,M725412469,663162,59790,0,0
442,CASH_OUT,35857,C647099690,489572,208196,C876189202,396900,452385,0,0
320,PAYMENT,60530,C629908599,118104,31655,M715122372,179480,299837,0,0
172,CASH_OUT,169276,C197613238,408124,248399,C112279027,120355,623539,1,0
288,DEBIT,54560,C911514914,407110,2881,C380840558,603685,538569,0,0
687,CASH_OUT,178546,C150590821,259252,177125,C801887172,307558,278577,1,0
472,DEBIT,187050,C217734861,353383,116361,C486066116,560815,759893,0,0
161,DEBIT,271434,C264112119,448402,281140,C843854609,283728,492133,0,1
381,PAYMENT,283916,C773715057,221454,466832,M353727962,363309,76620,0,0
423,CASH_OUT,35839,C271779360,38712,456985,C166705490,44109,769814,0,1
425,TRANSFER,285065,C950488739,404189,275875,C817029885,515329,292753,1,0
630,TRANSFER,51112,C830661141,143573,195457,C226942964,391731,396076,0,0
415,DEBIT,163152,C553290810,179412,16978,C599714064,519637,523764,0,0
469,PAYMENT,186906,C740389325,416443,304379,M429430802,128824,444258,0,0
318,PAYMENT,80791,C168212356,62894,457181,M271494637,25801,778504,0,0
288,CASH_OUT,294607,C513140753,159815,80722,C535312769,692727,281027,1,0
390,TRANSFER,243867,C509760584,234975,461638,C836665942,568694,671142,1,0
188,DEBIT,247641,C739830322,309799,261278,C639577241,625122,188327,0,0
608,TRANSFER,280295,C602564736,174166,136559,C855438611,406781,372908,1,0
62,TRANSFER,237430,C668132202,325899,243234,C926610534,674945,289169,1,0
537,CASH_OUT,252458,C369953851,109388,35183,C433910025,525608,225743,1,0
205,PAYMENT,99625,C694021782,449341,392159,M841193655,264052,514782,0,0
170,DEBIT,226405,C112327652,205704,164714,C226074193,656442,296066,0,0
447,DEBIT,225513,C830448745,147214,233853,C785811060,40491,612924,0,0
664,TRANSFER,3535,C873869166,345395,370729,C416794215,516328,117713,0,0
85,TRANSFER,35625,C222998994,22369,331278,C494647257,685352,372384,0,1
594,TRANSFER,5677,C831980933,439948,395215,C759949050,477982,474092,0,0
207,DEBIT,223132,C676567501,313047,102261,C337135066,617997,797163,0,0
397,PAYMENT,235807,C906248900,279078,345252,M335287540,672709,283142,0,0
553,DEBIT,212469,C386501362,275236,49396,C243418388,101069,271767,0,0
100,TRANSFER,240111,C925276600,127602,401461,C613443905,787071,415596,1,0
602,PAYMENT,40743,C788227492,26797,370522,M264481748,203206,619675,0,0
381,TRANSFER,156788,C465260635,117907,146691,C588529624,97289,745870,1,0
109,CASH_OUT,257858,C219778234,354182,275731,C902874167,402961,713895,1,0
503,DEBIT,256774,C415143362,479145,284732,C750407244,417740,673019,0,0
234,DEBIT,246617,C566825638,266278,100854,C501176618,38575,145250,0,0
510,TRANSFER,281473,C269820594,99270,354451,C546510829,50126,614998,0,0
56,TRANSFER,258328,C587182120,454623,191889,C853703117,138886,5833,1,0
389,PAYMENT,203775,C103484630,380485,294153,M689736058,651176,369648,0,0
584,DEBIT,256781,C875340444,156089,465787,C605547798,165369,481522,0,0
118,CASH_OUT,268714,C872751234,453372,498370,C913198930,696248,386377,1,0
196,CASH_OUT,51006,C382811832,238922,399029,C677155220,493614,711921,0,0
585,TRANSFER,5595,C637500247,483157,94655,C961135562,337540,762436,0,0
690,DEBIT,23482,C918150683,141488,475958,C813065972,319733,698512,0,0
157,PAYMENT,242987,C291825997,364069,118368,M986485022,39369,131016,0,0
20,CASH_OUT,262697,C645119047,476186,192416,C334517688,345529,665228,1,0
408,CASH_OUT,103406,C214257751,184484,290834,C918040539,156547,409062,0,0
607,DEBIT,197036,C771410971,282121,2526,C365713980,386230,408883,0,0
526,PAYMENT,137146,C420452650,13444,260577,M830511568,585009,2589,0,0
254,DEBIT,237381,C786066793,69893,38725,C910395417,658561,327572,0,0
119,PAYMENT,143524,C645098869,14963,22072,M739750911,443888,239139,0,0
143,TRANSFER,200103,C753876785,363114,167644,C945432844,377972,282926,1,0
684,PAYMENT,246467,C313579170,240491,112105,M187907572,385398,300279,0,0
543,DEBIT,134022,C264109919,99596,359493,C664258474,97375,21637,1,0
345,CASH_OUT,114261,C501486939,232061,92510,C579691987,172349,389336,0,0
538,CASH_OUT,73691,C918739736,21686,175231,C667121569,641067,204706,0,0
561,TRANSFER,9572,C273461957,53811,139344,C855663125,521315,185431,0,1
517,DEBIT,188774,C679153816,60848,361317,C488463544,153043,140880,0,0
223,CASH_OUT,97007,C936043811,327438,14633,C183862154,39015,9907,0,0
149,PAYMENT,169998,C669462919,123168,115064,M705771555,320961,516941,0,0
531,PAYMENT,36504,C100614068,335076,261161,M220483278,59314,697105,0,0
88,PAYMENT,280890,C743111853,397518,440258,M166312199,417896,700527,1,0
17,PAYMENT,138109,C448059918,404377,201264,M989889367,663662,779572,0,0
254,TRANSFER,174850,C624636385,291813,108352,C688033900,62651,112666,1,0
61,PAYMENT,21750,C120912992,75271,191082,M642762599,255745,343401,0,0
296,DEBIT,63001,C220117054,374048,169564,C317064188,274025,307633,0,0
59,PAYMENT,6611,C489747629,410343,74191,M714933740,394969,63867,0,0
657,DEBIT,114085,C992994062,91141,136169,C676234459,613484,550197,0,0
562,CASH_OUT,258172,C966267851,313392,319644,C260902774,451800,721673,1,0
500,DEBIT,275207,C430190783,232695,421396,C276670424,112293,711507,0,0
17,DEBIT,48739,C357109965,422013,90045,C452313624,754189,690080,0,0
258,DEBIT,181889,C162196678,394970,287858,C658712474,17903,173167,0,0
43,CASH_OUT,79923,C358633898,184544,16116,C574422684,534535,34111,0,0
286,TRANSFER,167658,C709194872,203180,57748,C224811770,102281,255628,1,0
141,CASH_OUT,179086,C184564737,25651,385210,C830461452,265591,8177,0,0
612,DEBIT,57923,C191969690,209272,420958,C320548167,132152,371603,0,0
655,CASH_OUT,276963,C885879795,180449,331650,C869784803,44397,255217,1,0
419,PAYMENT,97482,C621828280,317545,181142,M726150048,362803,607612,0,0
231,CASH_OUT,264960,C976198296,389962,94626,C624875038,141295,156405,1,0
157,TRANSFER,121788,C174316370,192154,203161,C197647841,642032,491127,0,1
585,DEBIT,257931,C916690353,498953,370512,C648011361,341324,248792,0,0
526,PAYMENT,212666,C671988889,388388,147278,M578333394,209870,107255,0,0
14,TRANSFER,297274,C922308461,14439,335695,C968326513,594331,364777,0,0
2,TRANSFER,139479,C235034324,159826,223232,C159738492,744917,344891,0,0
252,TRANSFER,95890,C237859287,392515,345173,C586869229,45177,421584,0,0
15,CASH_OUT,22604,C808402051,273438,39759,C241674152,247795,632565,0,0
634,TRANSFER,208534,C610330567,79468,79164,C651095672,333857,557068,0,0
90,DEBIT,148890,C690347116,215572,239947,C546058739,213766,302295,0,0
281,CASH_OUT,240370,C277303722,295761,51458,C590483627,87897,420822,1,0
631,PAYMENT,215479,C384602384,225121,94515,M705495031,601516,258989,0,0
351,TRANSFER,118723,C666585408,40136,449450,C161994392,577545,17580,0,0
249,DEBIT,5830,C751325257,38409,95028,C700003920,123225,277633,0,0
324,PAYMENT,36813,C554340903,304465,447154,M596474925,311999,757861,0,0
204,CASH_OUT,174079,C327416584,85820,368921,C822378827,597359,33282,0,0
541,PAYMENT,109530,C679064766,335863,124338,M966418765,455561,592947,0,0
86,CASH_OUT,152325,C910959828,7233,420531,C430894547,248029,790388,1,0
458,PAYMENT,38971,C883757514,87566,480579,M876616079,8539,694252,0,1
577,CASH_OUT,103633,C840739735,479969,197170,C123375849,697785,295845,0,0
34,DEBIT,242534,C315984311,18320,338608,C525146690,531536,375233,0,0
66,CASH_OUT,299390,C865523129,434895,312141,C373221357,496027,510926,1,0
51,TRANSFER,278618,C434702822,400007,2419,C976659977,28004,675531,1,0
98,DEBIT,242680,C528414718,466441,113693,C103237836,271261,50528,1,0
318,DEBIT,136485,C821218382,330515,136427,C900801470,201495,463445,0,0
420,TRANSFER,126619,C797801251,212826,378611,C333969748,581612,91104,0,0
270,DEBIT,290495,C500957212,293362,299225,C720956992,383829,478704,0,0
486,PAYMENT,222589,C570406376,128554,191799,M178414859,500204,274732,0,0
681,CASH_OUT,145062,C655742829,321516,38057,C148629555,734543,283392,0,0
641,CASH_OUT,197566,C584779555,37905,161508,C554941605,91426,178331,0,0
202,TRANSFER,178835,C229927269,142617,395459,C469935052,236576,569326,1,0
539,CASH_OUT,161938,C366186631,20946,73277,C852032540,371906,638960,0,0
31,DEBIT,225856,C341266931,34381,446983,C168461684,400404,525587,0,0
686,TRANSFER,202223,C168747287,139011,345600,C681069884,738650,449535,1,0
225,CASH_OUT,111462,C463016614,369997,225407,C164698991,75028,375581,0,0
324,PAYMENT,41605,C122585366,9491,224582,M174108740,494308,40262,0,0
657,CASH_OUT,35415,C731691672,35282,205599,C606882594,236028,27371,0,0
648,PAYMENT,128506,C694768704,12419,436374,M134075063,155739,384521,0,0
421,DEBIT,57776,C347083812,267751,36051,C408261300,519518,751679,0,0
426,TRANSFER,205828,C731832764,429643,71942,C539017530,517196,410761,1,0
243,TRANSFER,3871,C336456621,434034,302292,C293253475,537909,343810,0,0
675,TRANSFER,246475,C107721109,134484,208502,C925677464,721167,573392,1,0
589,DEBIT,28581,C176228245,169809,277169,C245415636,797177,9012,0,0
283,TRANSFER,113858,C860038427,278235,331356,C922301213,680047,358315,0,0
336,TRANSFER,81210,C777641645,233746,87687,C788832222,456082,201107,0,0
596,PAYMENT,105673,C163215224,363689,481056,M883068639,140926,416749,0,0
202,PAYMENT,140302,C345824373,363592,442626,M793509240,797115,659006,1,0
117,PAYMENT,238109,C172370545,229192,345182,M551360199,605266,742003,0,0
660,CASH_OUT,130566,C133729406,69109,308355,C502074351,297560,706475,0,0
25,TRANSFER,130844,C454794895,295156,180786,C510684364,263369,654373,0,0
90,TRANSFER,226477,C176082500,9569,455987,C581613078,641774,540436,0,0
231,PAYMENT,179101,C652070932,370579,177132,M505333621,718580,293812,0,0
667,CASH_OUT,299950,C355555531,370298,93254,C503346325,770227,707609,1,0
606,PAYMENT,263849,C399012686,296773,411514,M186167773,508889,578679,0,0
16,CASH_OUT,257524,C818309417,305163,367424,C833076128,653059,531296,1,0
666,DEBIT,3829,C621209849,79360,240515,C810594320,544950,75842,0,0
526,DEBIT,248080,C330035022,215838,340760,C679069250,716764,262025,0,0
276,DEBIT,278111,C678998028,378994,333304,C242796714,684736,177182,0,0
561,CASH_OUT,124691,C242068763,181902,369605,C801726890,489562,196339,0,0
377,DEBIT,63179,C876693898,317803,76054,C473415078,254259,373722,0,1
641,PAYMENT,86903,C713152854,351910,269188,M227381397,665344,422058,0,0
376,DEBIT,89624,C718702544,236668,311070,C291634595,213165,591676,0,0
681,DEBIT,283566,C607526654,415158,468942,C676876906,36368,406914,0,0
131,PAYMENT,268237,C360916298,66770,269051,M522043490,290449,270445,0,0
183,DEBIT,170951,C942478695,362355,149177,C667840357,786408,550808,0,0
455,PAYMENT,165867,C607850824,103107,259125,M236737888,230755,292490,0,0
129,PAYMENT,227567,C967043303,359267,437948,M881531720,91544,83866,0,0
233,TRANSFER,63348,C537077308,495062,66202,C339111798,40751,237644,0,0
95,TRANSFER,223760,C304451095,204580,365244,C996382881,481018,218008,1,0
481,CASH_OUT,205703,C201281557,404062,281892,C103729417,701893,30844,1,0
413,PAYMENT,193809,C204078666,7399,79062,M911941471,730002,291040,0,0
5,DEBIT,34252,C807577342,269209,324787,C124411864,578706,579779,0,0
237,PAYMENT,7552,C562837684,499471,108730,M420364823,495187,690538,0,0
670,TRANSFER,213386,C480424119,79071,186351,C597146648,785034,27949,0,0
162,PAYMENT,268142,C554814084,48113,144867,M823164961,711601,694598,0,0
147,CASH_OUT,147625,C541417711,62222,426802,C872121274,104997,764302,0,0
696,DEBIT,15485,C601463916,181056,360591,C684593732,253928,364413,1,0
476,PAYMENT,80920,C882839238,297915,350500,M555404004,772793,487252,0,0
324,PAYMENT,293559,C158165865,320787,274383,M671159367,36972,508604,0,0
394,PAYMENT,225668,C823019672,280407,334446,M507245006,429201,688280,0,0
356,CASH_OUT,241632,C801642483,148,278076,C984076542,793802,645323,0,0
17,PAYMENT,131863,C793830224,412984,204541,M346599912,410372,149388,1,0
99,DEBIT,145033,C205675387,75791,196681,C365764028,362009,104162,1,0
171,TRANSFER,215441,C165082363,394911,165746,C594592624,570569,357168,1,0
402,PAYMENT,72047,C532311310,448499,59567,M471686188,106968,543708,0,0
244,CASH_OUT,266385,C881913386,312188,47003,C266560311,363284,150424,1,0
289,CASH_OUT,113883,C464323393,449170,19659,C395976645,412699,266933,0,0
259,CASH_OUT,28577,C959629660,489028,443071,C302379343,455899,629425,0,0
76,CASH_OUT,53075,C217326729,60561,278846,C878488534,231897,630175,0,0
550,TRANSFER,87336,C366992705,391776,172507,C921938559,399158,509742,0,0
246,CASH_OUT,249936,C305718272,241424,74442,C221166014,687055,693278,1,0
482,PAYMENT,142790,C304235259,259405,359429,M134593072,485320,541828,0,0
87,DEBIT,249300,C675832441,330331,428577,C969170578,240310,448431,0,0
41,DEBIT,153367,C581695135,396848,68232,C808881871,485820,618530,0,0
167,CASH_OUT,104701,C250519597,143572,293601,C550156166,609003,739578,0,0
51,TRANSFER,26605,C552991960,188467,462748,C760268760,331012,71895,0,0
208,DEBIT,82564,C297018781,369676,492281,C922543647,192543,509325,0,0
84,CASH_OUT,78112,C399085574,307942,434227,C116799547,674053,198675,0,0
489,TRANSFER,147680,C596743109,421153,201762,C358413465,578032,229489,0,0
320,DEBIT,260810,C368227631,310768,95967,C321278458,298951,651336,0,0
60,DEBIT,104747,C180943908,427557,450708,C172253060,134405,572569,0,0
447,DEBIT,267391,C575808013,238544,470032,C208337018,239628,312093,0,0
166,PAYMENT,255216,C967607278,210536,354824,M737742679,376394,219589,0,0
285,PAYMENT,176384,C690907304,457420,181417,M136052248,110401,165201,0,0
620,PAYMENT,36260,C205128697,465715,273129,M579362443,136080,127878,0,0
418,CASH_OUT,159479,C154318806,478009,486772,C741866641,793387,245741,1,0
137,PAYMENT,105172,C800235246,219516,278504,M821579885,77701,173441,0,0
220,CASH_OUT,185884,C680451872,385921,47046,C855147872,80636,128658,1,0
422,DEBIT,177374,C997677788,231615,358635,C152265802,566136,276925,0,0
489,DEBIT,54775,C115846122,432750,76394,C362781292,46629,534396,1,0
494,DEBIT,231907,C200140141,368455,442900,C895149930,773131,163479,0,0
311,TRANSFER,209855,C909134796,51977,105153,C147498828,746648,362812,0,0
278,CASH_OUT,282852,C353810544,230144,312434,C531929128,297203,438292,1,0
253,CASH_OUT,154337,C278575192,384903,247181,C571332733,517649,591297,1,0
313,CASH_OUT,62387,C536383774,455755,221490,C351619881,453035,681266,0,0
536,CASH_OUT,110200,C621453189,164342,309815,C679562681,668860,696217,0,0
565,PAYMENT,212590,C616854671,36069,287120,M333291033,635167,139741,0,0
689,PAYMENT,29809,C329509408,263389,277845,M910015485,393650,471820,0,0
182,DEBIT,92215,C530613729,123182,341466,C933291969,293076,18225,0,0
496,PAYMENT,151999,C162959284,107584,404060,M160606325,124697,675815,0,0
535,DEBIT,139818,C276777762,373595,386060,C250469429,285840,249240,0,0
106,PAYMENT,43269,C506919288,241540,411034,M641054044,42192,344776,0,0
627,CASH_OUT,11616,C102314313,466962,366823,C410594268,157234,502376,0,0
288,TRANSFER,299631,C519212169,67507,101131,C351429015,716537,378044,0,0
28,DEBIT,78772,C384759615,53413,59980,C975943821,605685,469509,0,0
336,CASH_OUT,5766,C941889393,92416,40308,C885460919,341180,348109,0,0
582,CASH_OUT,223557,C943026227,33205,50304,C718593766,506705,716464,0,1
659,PAYMENT,278672,C588561518,270013,378191,M442420233,178475,396742,0,0
70,PAYMENT,215757,C406284028,283748,173620,M720058859,617345,728309,0,0
78,TRANSFER,132547,C554200826,159413,393807,C742009209,286608,340907,0,0
558,DEBIT,64440,C847959430,498665,367767,C929506584,39244,632312,0,0
81,PAYMENT,57296,C884374109,146776,108654,M822125631,11755,694497,0,0
476,PAYMENT,141791,C941128035,58481,128344,M978731508,233553,599176,0,0
164,CASH_OUT,79669,C696751693,319055,112099,C444311548,106998,398933,0,0
556,PAYMENT,122166,C810678904,422534,76215,M354373770,266441,155205,1,0
502,TRANSFER,267850,C871385010,95872,143084,C424017094,395158,578256,0,0
446,CASH_OUT,270775,C622559454,116074,46638,C253824712,613311,21536,1,0
